Date,Received,Sent
20231223,964058850,20448958
20231222,5079997941,1357883553
20231221,4337460780,163607478
20231220,1589872864,35619417
20231219,592863189,13924348
20231218,792170105,121695292
20231217,4605566967,179083283
20231216,258777240,35523959
20231214,482964066,126120905
20231213,400488762,48488406
20231209,583246948,11337823
20231208,3179335839,55919460
20231207,968973538,41606307
20231206,190528565,18894279
20231205,625305129,24576593
20231204,187255736,28260494
20231203,975571660,46941652
20231202,535051033,57087343
20231201,691285168,45578397
20231130,777653905,31803148
20231129,4294571777,588540871
20231128,6189443074,192331932
20231127,358391537,20798902
20231126,235355799,21384815
20231125,1315610471,234334369
20231124,6723759,1082274
20231123,652674209,35750324
20231122,71379048,11122878
20231121,584523406,214358050
20231120,593311694,95182664
20231119,244,350
20231118,4056014238,126210228
20231116,1013381582,305952497
20231113,669497913,620225549
20231112,202023116,31870018
20231111,574962680,43987230
20231110,89455297,7888459
20231109,130227,142413
20231107,616541878,74675875
20231106,465345674,44322425
20231105,897153563,64193248
20231104,2064982023,311806167
20231103,1147361543,32639173
20231102,300534115,9509541
20231030,574704577,41144332
20231029,1775172325,299593662
20231028,633808805,630423224
20231027,72240451,5399491
20231026,5897198980,140442937
20231025,712012069,7479951
20231024,207712889,20440270
20231023,1184707851,966139384
20231022,1811302949,182022871
20231021,15371291913,811103265
20231019,386877882,23632665
20231018,1743481627,424894704
20231017,155561778,20714113
20231016,35053178,831108
20231015,553600882,15135760
20231014,779361298,28928164
20231013,672294804,56491820
20231012,6829737164,896017540
20231011,11740568388,296881152
20231009,585284413,39968605
20231008,153946926,15867690
20231007,647945299,31659143
20231006,411530819,102975832
20231005,800929348,207789189
20231004,128016,38492
20231003,720367673,61400775
20231002,15953606607,306972498
20231001,56467125,30921189
20230930,1437642771,314940276
20230929,16837555431,675231949
20230928,895319837,488998317
20230927,8754968282,429724636
20230926,7927528865,209507490
20230925,83137081,7941765
20230924,805890028,67916753
20230922,2347018685,121442995
20230921,23989995,1191134
20230920,445773684,38382566
20230919,538694798,18029863
20230918,888025139,224441663
20230917,41963777515,2060185505
20230916,893830137,459754354
20230915,1028926111,409304619
20230914,1040667546,115178565
20230913,97301602,12067822
20230912,363657466,36009353
20230911,226293197,15709142
20230910,552598672,108761675
20230909,4252156996,289732549
20230908,2378687313,1170384156
20230907,509755053,43453229
20230906,320512619,22613249
20230905,686411425,200546287
20230904,90214393,6626603
20230903,26569265,11846064
20230901,7132857838,761369990
20230831,1330766488,98475701
20230829,530193996,78792896
20230828,1238594013,53313559
20230827,1972840472,180457549
20230826,6128240691,226363069
20230824,2063452501,304701007
20230823,869764725,19924775
